[2026-01-14T12:58:00.391+0000] {log.py:232} WARNING - 2026-01-14 12:58:00 - vnstock.core.utils.client - ERROR - API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe9500f8f0>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)"))
[2026-01-14T12:58:00.391+0000] {client.py:414} ERROR - API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe9500f8f0>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)"))
[2026-01-14T12:58:00.393+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy X77: API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe9500f8f0>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)")) | ngủ 3.0s
[2026-01-14T12:58:03.398+0000] {log.py:232} WARNING - 2026-01-14 12:58:03 - vnstock.core.utils.client - ERROR - API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe94fed0d0>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)"))
[2026-01-14T12:58:03.398+0000] {client.py:414} ERROR - API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe94fed0d0>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)"))
[2026-01-14T12:58:03.400+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy X26: API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe94fed0d0>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)")) | ngủ 3.0s
[2026-01-14T12:58:06.406+0000] {log.py:232} WARNING - 2026-01-14 12:58:06 - vnstock.core.utils.client - ERROR - API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe9500c1d0>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)"))
[2026-01-14T12:58:06.406+0000] {client.py:414} ERROR - API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe9500c1d0>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)"))
[2026-01-14T12:58:06.408+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy X20: API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe9500c1d0>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)")) | ngủ 3.0s
[2026-01-14T12:58:09.412+0000] {log.py:232} WARNING - 2026-01-14 12:58:09 - vnstock.core.utils.client - ERROR - API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe9500c950>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)"))
[2026-01-14T12:58:09.412+0000] {client.py:414} ERROR - API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe9500c950>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)"))
[2026-01-14T12:58:09.413+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy WTC: API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe9500c950>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)")) | ngủ 3.0s
[2026-01-14T12:58:12.412+0000] {log.py:232} WARNING - 2026-01-14 12:58:12 - vnstock.core.utils.client - ERROR - API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe9500ff50>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)"))
[2026-01-14T12:58:12.412+0000] {client.py:414} ERROR - API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe9500ff50>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)"))
[2026-01-14T12:58:12.413+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy WSS: API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe9500ff50>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)")) | ngủ 3.0s
[2026-01-14T12:58:15.418+0000] {log.py:232} WARNING - 2026-01-14 12:58:15 - vnstock.core.utils.client - ERROR - API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe95038380>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)"))
